"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5962","Should show an error when both fields are empty","","Thu Jul 03 06:55:51 CEST 2025","passed","Thu Jul 03 06:55:57 CEST 2025","","Login Page Tests - saucedemo.com: UC-1: Test Login form with empty credentials","",""
"","2932","should handle case: Empty input fields (type then clear both fields)","","Fri Jul 11 11:45:54 CEST 2025","passed","Fri Jul 11 11:45:57 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","3649","Should show an error when both fields are empty","","Fri Jul 11 11:32:36 CEST 2025","passed","Fri Jul 11 11:32:40 CEST 2025","","Login Page Tests - saucedemo.com: UC-1: Test Login form with empty credentials","",""
"","3747","should handle case: Valid user","","Thu Jul 03 06:55:30 CEST 2025","passed","Thu Jul 03 06:55:34 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","9664","Should show an error when trying to login with empty credentials","","Sat Jun 21 18:51:04 CEST 2025","passed","Sat Jun 21 18:51:13 CEST 2025","","Tests for Login page saucedemo.com: UC-1: Test Login form with empty credentials","",""
"","4327","should handle case: Valid user","","Thu Jul 03 06:55:32 CEST 2025","passed","Thu Jul 03 06:55:36 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","11188","should handle case: Empty input fields (type then clear both fields)","","Thu Jul 03 06:55:14 CEST 2025","passed","Thu Jul 03 06:55:25 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","15657","Should navigate to dashboard and display ""Products"" title and browser tab ""Swag Labs""","","Thu Jun 26 07:54:28 CEST 2025","passed","Thu Jun 26 07:54:43 CEST 2025","","Tests for Login page saucedemo.com: UC-3: Login with valid credentials","",""
"","2829","should handle case: Empty input fields (type then clear both fields)","","Fri Jul 11 11:45:54 CEST 2025","passed","Fri Jul 11 11:45:57 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","5643","should handle case: Empty password (type then clear password only)","","Thu Jul 03 06:55:24 CEST 2025","passed","Thu Jul 03 06:55:30 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","1626","should handle case: Valid user","","Fri Jul 11 11:45:59 CEST 2025","passed","Fri Jul 11 11:46:00 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","1855","should handle case: Empty password (type then clear password only)","","Fri Jul 11 11:45:57 CEST 2025","passed","Fri Jul 11 11:45:59 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
"","2827","Should show an error when trying to login with empty credentials","","Sat Jun 21 18:51:27 CEST 2025","passed","Sat Jun 21 18:51:30 CEST 2025","","Tests for Login page saucedemo.com: UC-1: Test Login form with empty credentials","",""
"","11901","should handle case: Empty input fields (type then clear both fields)","","Sat Jun 21 18:51:00 CEST 2025","passed","Sat Jun 21 18:51:11 CEST 2025","","Login Form Tests (Data Driven) - BDD style","",""
